K,Gamma_dB,MSE_Sidelobe_Power_dB,MaxMin_Sidelobe_Power_dB,SCA_Sidelobe_Power_dB
2,2,5.0426419266054,2.2173771602652,3.61171772042866
4,2,6.21926760591073,2.23695108531315,4.93199251342464
6,2,6.71081175290129,2.27482295893225,6.7429339411521
2,4,4.7360294891747,2.21842481393091,3.09760370259275
4,4,6.32841928993359,2.28587744591234,4.97651031563145
6,4,6.40697945202152,2.44881758427521,6.77240371935778
2,6,5.60720022382736,2.23025835300492,3.50394446537734
4,6,7.10003956523367,2.34653075846955,6.95175966085537
6,6,8.22561278087512,NaN,8.56229775452032
2,8,5.65126685111842,2.23944112659847,4.60024103174641
4,8,6.79604150170296,2.34911484168995,5.94332776589705
6,8,7.47829654113932,NaN,7.70267176295051
2,10,5.78229353575599,2.24979747959014,5.36544827732753
4,10,6.85302977722505,2.52129259183502,7.21119727557334
6,10,8.57104050348501,NaN,8.68424715396015
