K,Gamma_dB,MSE_Sidelobe_Power_dB,SCA_Sidelobe_Power_dB,MaxMin_Sidelobe_Power_dB
2,2,5.282500922,3.61171772,2.21737716
4,2,5.88126243,4.931992513,2.236951085
6,2,6.0408,6.371810067,2.274822959
2,4,5.270981659,3.829649442,2.218424814
4,4,6.32841929,4.976510316,2.285877446
6,4,6.6009,6.878033327,2.448817584
2,6,5.607200224,5.014427513,2.230258353
4,6,7.100039565,6.951759661,2.346530758
6,6,7.6228,7.748921923,NaN
2,8,5.804679801,5.09239882,2.239441127
4,8,6.9093,7.228746618,2.349114842
6,8,7.9542,7.774492811,NaN
2,10,6.350458632,5.920284766,2.24979748
4,10,7.2706,7.211197276,2.521292592
6,10,8.403351178,8.684247154,NaN
